id,title,authors,link,tags,originally_announced_at
1,A Primal-Dual Method for Training Recurrent Neural Networks Constrained by the Echo-State Property,"['Jianshu Chen', 'Li Deng']",https://arxiv.org/abs/1311.6091,"['cs.LG', 'cs.NE']","Submitted 5 March, 2014; v1 submitted 24 November, 2013;
      originally announced November 2013."
2,Long Short-Term Memory Based Recurrent Neural Network Architectures for Large Vocabulary Speech Recognition,"['Haşim Sak', 'Andrew Senior', 'Françoise Beaufays']",https://arxiv.org/abs/1402.1128,"['cs.NE', 'cs.CL', 'cs.LG', 'stat.ML']","Submitted 5 February, 2014; 
      originally announced February 2014."
3,A Clockwork RNN,"['Jan Koutník', 'Klaus Greff', 'Faustino Gomez', 'Jürgen Schmidhuber']",https://arxiv.org/abs/1402.3511,"['cs.NE', 'cs.LG']","Submitted 14 February, 2014; 
      originally announced February 2014."
4,Sequence to Sequence Learning with Neural Networks,"['Ilya Sutskever', 'Oriol Vinyals', 'Quoc V. Le']",https://arxiv.org/abs/1409.3215,"['cs.CL', 'cs.LG']","Submitted 14 December, 2014; v1 submitted 10 September, 2014;
      originally announced September 2014."
5,Unifying Visual-Semantic Embeddings with Multimodal Neural Language Models,"['Ryan Kiros', 'Ruslan Salakhutdinov', 'Richard S. Zemel']",https://arxiv.org/abs/1411.2539,"['cs.LG', 'cs.CL', 'cs.CV']","Submitted 10 November, 2014; 
      originally announced November 2014."
6,Bach in 2014: Music Composition with Recurrent Neural Network,"['I-Ting Liu', 'Bhiksha Ramakrishnan']",https://arxiv.org/abs/1412.3191,"['cs.AI', 'cs.NE']","Submitted 13 December, 2014; v1 submitted 9 December, 2014;
      originally announced December 2014."
7,Empirical Evaluation of Gated Recurrent Neural Networks on Sequence Modeling,"['Junyoung Chung', 'Caglar Gulcehre', 'KyungHyun Cho', 'Yoshua Bengio']",https://arxiv.org/abs/1412.3555,"['cs.NE', 'cs.LG']","Submitted 11 December, 2014; 
      originally announced December 2014."
8,Recurrent Neural Network Regularization,"['Wojciech Zaremba', 'Ilya Sutskever', 'Oriol Vinyals']",https://arxiv.org/abs/1409.2329,['cs.NE'],"Submitted 19 February, 2015; v1 submitted 8 September, 2014;
      originally announced September 2014."
9,Constructing Long Short-Term Memory based Deep Recurrent Neural Networks for Large Vocabulary Speech Recognition,"['Xiangang Li', 'Xihong Wu']",https://arxiv.org/abs/1410.4281,"['cs.CL', 'cs.NE']","Submitted 10 May, 2015; v1 submitted 15 October, 2014;
      originally announced October 2014."
10,Learning to Execute,"['Wojciech Zaremba', 'Ilya Sutskever']",https://arxiv.org/abs/1410.4615,"['cs.NE', 'cs.AI', 'cs.LG']","Submitted 19 February, 2015; v1 submitted 16 October, 2014;
      originally announced October 2014."
11,On Using Very Large Target Vocabulary for Neural Machine Translation,"['Sébastien Jean', 'Kyunghyun Cho', 'Roland Memisevic', 'Yoshua Bengio']",https://arxiv.org/abs/1412.2007,['cs.CL'],"Submitted 18 March, 2015; v1 submitted 5 December, 2014;
      originally announced December 2014."
12,Semantic Modelling with Long-Short-Term Memory for Information Retrieval,"['H. Palangi', 'L. Deng', 'Y. Shen', 'J. Gao', 'X. He', 'J. Chen', 'X. Song', 'R. Ward']",https://arxiv.org/abs/1412.6629,['cs.IR'],"Submitted 27 February, 2015; v1 submitted 20 December, 2014;
      originally announced December 2014."
13,Learning Longer Memory in Recurrent Neural Networks,"['Tomas Mikolov', 'Armand Joulin', 'Sumit Chopra', 'Michael Mathieu', ""Marc'Aurelio Ranzato""]",https://arxiv.org/abs/1412.7753,"['cs.NE', 'cs.LG']","Submitted 16 April, 2015; v1 submitted 24 December, 2014;
      originally announced December 2014."
14,A hypothesize-and-verify framework for Text Recognition using Deep Recurrent Neural Networks,"['Anupama Ray', 'Sai Rajeswar', 'Santanu Chaudhury']",https://arxiv.org/abs/1502.07540,['cs.CV'],"Submitted 26 February, 2015; 
      originally announced February 2015."
15,Improved Semantic Representations From Tree-Structured Long Short-Term Memory Networks,"['Kai Sheng Tai', 'Richard Socher', 'Christopher D. Manning']",https://arxiv.org/abs/1503.00075,"['cs.CL', 'cs.AI', 'cs.LG']","Submitted 30 May, 2015; v1 submitted 28 February, 2015;
      originally announced March 2015."
16,When Are Tree Structures Necessary for Deep Learning of Representations?,"['Jiwei Li', 'Minh-Thang Luong', 'Dan Jurafsky', 'Eudard Hovy']",https://arxiv.org/abs/1503.00185,"['cs.AI', 'cs.CL']","Submitted 18 August, 2015; v1 submitted 28 February, 2015;
      originally announced March 2015."
17,Convolutional LSTM Networks for Subcellular Localization of Proteins,"['Søren Kaae Sønderby', 'Casper Kaae Sønderby', 'Henrik Nielsen', 'Ole Winther']",https://arxiv.org/abs/1503.01919,"['q-bio.QM', 'cs.NE']","Submitted 6 March, 2015; 
      originally announced March 2015."
18,Single stream parallelization of generalized LSTM-like RNNs on a GPU,"['Kyuyeon Hwang', 'Wonyong Sung']",https://arxiv.org/abs/1503.02852,"['cs.NE', 'cs.LG']","Submitted 10 March, 2015; 
      originally announced March 2015."
19,Long Short-Term Memory Over Tree Structures,"['Xiaodan Zhu', 'Parinaz Sobhani', 'Hongyu Guo']",https://arxiv.org/abs/1503.04881,"['cs.CL', 'cs.LG', 'cs.NE']","Submitted 16 March, 2015; 
      originally announced March 2015."
20,$gen$CNN: A Convolutional Architecture for Word Sequence Prediction,"['Mingxuan Wang', 'Zhengdong Lu', 'Hang Li', 'Wenbin Jiang', 'Qun Liu']",https://arxiv.org/abs/1503.05034,['cs.CL'],"Submitted 24 April, 2015; v1 submitted 17 March, 2015;
      originally announced March 2015."
21,End-To-End Memory Networks,"['Sainbayar Sukhbaatar', 'Arthur Szlam', 'Jason Weston', 'Rob Fergus']",https://arxiv.org/abs/1503.08895,"['cs.NE', 'cs.CL']","Submitted 24 November, 2015; v1 submitted 30 March, 2015;
      originally announced March 2015."
22,Beyond Short Snippets: Deep Networks for Video Classification,"['Joe Yue-Hei Ng', 'Matthew Hausknecht', 'Sudheendra Vijayanarasimhan', 'Oriol Vinyals', 'Rajat Monga', 'George Toderici']",https://arxiv.org/abs/1503.08909,['cs.CV'],"Submitted 13 April, 2015; v1 submitted 31 March, 2015;
      originally announced March 2015."
23,A Simple Way to Initialize Recurrent Networks of Rectified Linear Units,"['Quoc V. Le', 'Navdeep Jaitly', 'Geoffrey E. Hinton']",https://arxiv.org/abs/1504.00941,"['cs.NE', 'cs.LG']","Submitted 7 April, 2015; v1 submitted 3 April, 2015;
      originally announced April 2015."
24,Modeling Spatial-Temporal Clues in a Hybrid Deep Learning Framework for Video Classification,"['Zuxuan Wu', 'Xi Wang', 'Yu-Gang Jiang', 'Hao Ye', 'Xiangyang Xue']",https://arxiv.org/abs/1504.01561,"['cs.CV', 'cs.MM']","Submitted 7 April, 2015; 
      originally announced April 2015."
25,Differential Recurrent Neural Networks for Action Recognition,"['Vivek Veeriah', 'Naifan Zhuang', 'Guo-Jun Qi']",https://arxiv.org/abs/1504.06678,['cs.CV'],"Submitted 24 April, 2015; 
      originally announced April 2015."
26,Sequence to Sequence -- Video to Text,"['Subhashini Venugopalan', 'Marcus Rohrbach', 'Jeff Donahue', 'Raymond Mooney', 'Trevor Darrell', 'Kate Saenko']",https://arxiv.org/abs/1505.00487,['cs.CV'],"Submitted 19 October, 2015; v1 submitted 3 May, 2015;
      originally announced May 2015."
27,Jointly Modeling Embedding and Translation to Bridge Video and Language,"['Yingwei Pan', 'Tao Mei', 'Ting Yao', 'Houqiang Li', 'Yong Rui']",https://arxiv.org/abs/1505.01861,"['cs.CV', 'cs.MM']","Submitted 4 June, 2015; v1 submitted 7 May, 2015;
      originally announced May 2015."
28,Are You Talking to a Machine? Dataset and Methods for Multilingual Image Question Answering,"['Haoyuan Gao', 'Junhua Mao', 'Jie Zhou', 'Zhiheng Huang', 'Lei Wang', 'Wei Xu']",https://arxiv.org/abs/1505.05612,"['cs.CV', 'cs.CL', 'cs.LG']","Submitted 2 November, 2015; v1 submitted 21 May, 2015;
      originally announced May 2015."
29,Transition-Based Dependency Parsing with Stack Long Short-Term Memory,"['Chris Dyer', 'Miguel Ballesteros', 'Wang Ling', 'Austin Matthews', 'Noah A. Smith']",https://arxiv.org/abs/1505.08075,"['cs.CL', 'cs.LG', 'cs.NE']","Submitted 29 May, 2015; 
      originally announced May 2015."
30,A Critical Review of Recurrent Neural Networks for Sequence Learning,"['Zachary C. Lipton', 'John Berkowitz', 'Charles Elkan']",https://arxiv.org/abs/1506.00019,"['cs.LG', 'cs.NE']","Submitted 17 October, 2015; v1 submitted 29 May, 2015;
      originally announced June 2015."
31,Sequence-to-Sequence Neural Net Models for Grapheme-to-Phoneme Conversion,"['Kaisheng Yao', 'Geoffrey Zweig']",https://arxiv.org/abs/1506.00196,['cs.CL'],"Submitted 20 August, 2015; v1 submitted 31 May, 2015;
      originally announced June 2015."
32,A Hierarchical Neural Autoencoder for Paragraphs and Documents,"['Jiwei Li', 'Minh-Thang Luong', 'Dan Jurafsky']",https://arxiv.org/abs/1506.01057,['cs.CL'],"Submitted 5 June, 2015; v1 submitted 2 June, 2015;
      originally announced June 2015."
33,The Long-Short Story of Movie Description,"['Anna Rohrbach', 'Marcus Rohrbach', 'Bernt Schiele']",https://arxiv.org/abs/1506.01698,"['cs.CV', 'cs.CL']","Submitted 4 June, 2015; 
      originally announced June 2015."
34,Visualizing and Understanding Recurrent Networks,"['Andrej Karpathy', 'Justin Johnson', 'Li Fei-Fei']",https://arxiv.org/abs/1506.02078,"['cs.LG', 'cs.CL', 'cs.NE']","Submitted 16 November, 2015; v1 submitted 5 June, 2015;
      originally announced June 2015."
35,Generative Image Modeling Using Spatial LSTMs,"['Lucas Theis', 'Matthias Bethge']",https://arxiv.org/abs/1506.03478,"['stat.ML', 'cs.CV', 'cs.LG']","Submitted 18 September, 2015; v1 submitted 10 June, 2015;
      originally announced June 2015."
36,"Listen, Attend, and Walk: Neural Mapping of Navigational Instructions to Action Sequences","['Hongyuan Mei', 'Mohit Bansal', 'Matthew R. Walter']",https://arxiv.org/abs/1506.04089,"['cs.CL', 'cs.AI', 'cs.LG', 'cs.NE', 'cs.RO']","Submitted 17 December, 2015; v1 submitted 12 June, 2015;
      originally announced June 2015."
37,Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting,"['Xingjian Shi', 'Zhourong Chen', 'Hao Wang', 'Dit-Yan Yeung', 'Wai-kin Wong', 'Wang-chun Woo']",https://arxiv.org/abs/1506.04214,['cs.CV'],"Submitted 19 September, 2015; v1 submitted 12 June, 2015;
      originally announced June 2015."
38,Reading Scene Text in Deep Convolutional Sequences,"['Pan He', 'Weilin Huang', 'Yu Qiao', 'Chen Change Loy', 'Xiaoou Tang']",https://arxiv.org/abs/1506.04395,['cs.CV'],"Submitted 20 December, 2015; v1 submitted 14 June, 2015;
      originally announced June 2015."
39,Tree-structured composition in neural networks without tree-structured architectures,"['Samuel R. Bowman', 'Christopher D. Manning', 'Christopher Potts']",https://arxiv.org/abs/1506.04834,"['cs.CL', 'cs.LG']","Submitted 9 November, 2015; v1 submitted 16 June, 2015;
      originally announced June 2015."
40,End-to-end people detection in crowded scenes,"['Russell Stewart', 'Mykhaylo Andriluka']",https://arxiv.org/abs/1506.04878,['cs.CV'],"Submitted 8 July, 2015; v1 submitted 16 June, 2015;
      originally announced June 2015."
41,Answer Sequence Learning with Neural Networks for Answer Selection in Community Question Answering,"['Xiaoqiang Zhou', 'Baotian Hu', 'Qingcai Chen', 'Buzhou Tang', 'Xiaolong Wang']",https://arxiv.org/abs/1506.06490,"['cs.CL', 'cs.IR', 'cs.LG']","Submitted 22 June, 2015; 
      originally announced June 2015."
42,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation","['Marijn F. Stollenga', 'Wonmin Byeon', 'Marcus Liwicki', 'Juergen Schmidhuber']",https://arxiv.org/abs/1506.07452,"['cs.CV', 'cs.LG']","Submitted 24 June, 2015; 
      originally announced June 2015."
43,Incremental LSTM-based Dialog State Tracker,"['Lukas Zilka', 'Filip Jurcicek']",https://arxiv.org/abs/1507.03471,['cs.CL'],"Submitted 13 July, 2015; 
      originally announced July 2015."
44,Neural NILM: Deep Neural Networks Applied to Energy Disaggregation,"['Jack Kelly', 'William Knottenbelt']",https://arxiv.org/abs/1507.06594,['cs.NE'],"Submitted 28 September, 2015; v1 submitted 23 July, 2015;
      originally announced July 2015."
45,Fast and Accurate Recurrent Neural Network Acoustic Models for Speech Recognition,"['Haşim Sak', 'Andrew Senior', 'Kanishka Rao', 'Françoise Beaufays']",https://arxiv.org/abs/1507.06947,"['cs.CL', 'cs.LG', 'cs.NE', 'stat.ML']","Submitted 24 July, 2015; 
      originally announced July 2015."
46,Recurrent Network Models for Human Dynamics,"['Katerina Fragkiadaki', 'Sergey Levine', 'Panna Felsen', 'Jitendra Malik']",https://arxiv.org/abs/1508.00271,['cs.CV'],"Submitted 28 September, 2015; v1 submitted 2 August, 2015;
      originally announced August 2015."
47,Time-series modeling with undecimated fully convolutional neural networks,['Roni Mittelman'],https://arxiv.org/abs/1508.00317,"['stat.ML', 'cs.LG']","Submitted 3 August, 2015; 
      originally announced August 2015."
48,Improved Transition-Based Parsing by Modeling Characters instead of Words with LSTMs,"['Miguel Ballesteros', 'Chris Dyer', 'Noah A. Smith']",https://arxiv.org/abs/1508.00657,['cs.CL'],"Submitted 11 August, 2015; v1 submitted 4 August, 2015;
      originally announced August 2015."
