id,title,authors,link,tags,originally_announced_at
1,An Optical Interferometer with Wavelength Dispersion,"['T. R. Bedding', 'J. G. Robertson', 'R. G. Marson']",https://arxiv.org/abs/astro-ph/9404001,['astro-ph'],"Submitted 4 April, 1994; 
      originally announced April 1994."
2,Dynamics of Internal Models in Game Players,"['Makoto Taiji', 'Takashi Ikegami']",https://arxiv.org/abs/adap-org/9807004,['nlin.AO'],"Submitted 23 July, 1998; 
      originally announced July 1998."
3,The Circumstellar Envelope of pi Gru,"['G. R. Knapp', 'K. Young', 'M. Crosas']",https://arxiv.org/abs/astro-ph/9903338,['astro-ph'],"Submitted 22 March, 1999; 
      originally announced March 1999."
4,First X-ray observations of the polar CE Gru,"['Gavin Ramsay', 'Mark Cropper']",https://arxiv.org/abs/astro-ph/0205102,['astro-ph'],"Submitted 7 May, 2002; 
      originally announced May 2002."
5,Applying Policy Iteration for Training Recurrent Neural Networks,"['I. Szita', 'A. Lorincz']",https://arxiv.org/abs/cs/0410004,"['cs.AI', 'cs.LG', 'cs.NE']","Submitted 2 October, 2004; 
      originally announced October 2004."
6,Binarity and multiperiodicity in high-amplitude delta Scuti stars,"['A. Derekas', 'L. L. Kiss', 'B. Csak', 'J. Griffin', 'C. Lindstrom', 'Sz. Meszaros', 'P. Szekely', 'M. C. B. Ashley', 'T. R. Bedding']",https://arxiv.org/abs/astro-ph/0509485,['astro-ph'],"Submitted 16 September, 2005; 
      originally announced September 2005."
7,Evolino for recurrent support vector machines,"['Juergen Schmidhuber', 'Matteo Gagliolo', 'Daan Wierstra', 'Faustino Gomez']",https://arxiv.org/abs/cs/0512062,['cs.NE'],"Submitted 15 December, 2005; 
      originally announced December 2005."
8,PBW-deformation theory and regular central extensions,"['Thomas Cassidy', 'Brad Shelton']",https://arxiv.org/abs/math/0603375,['math.RA'],"Submitted 27 March, 2006; v1 submitted 15 March, 2006;
      originally announced March 2006."
9,Multi-Dimensional Recurrent Neural Networks,"['Alex Graves', 'Santiago Fernandez', 'Juergen Schmidhuber']",https://arxiv.org/abs/0705.2011,"['cs.AI', 'cs.CV']","Submitted 14 May, 2007; 
      originally announced May 2007."
10,VSOP: The Variable Star One-shot Project I. Project presentation and first data release,"['T. H. Dall', 'C. Foellmi', 'J. Pritchard', 'G. Lo Curto', 'C. Allende Prieto', 'H. Bruntt', 'P. J. Amado', 'T. Arentoft', 'M. Baes', 'E. Depagne', 'M. Fernandez', 'V. Ivanov', 'L. Koesterke', 'L. Monaco', ""K. O'Brien"", 'L. M. Sarro', 'I. Saviane', 'J. Scharwaechter', 'L. Schmidtobreick', 'O. Schuetz', 'A. Seifahrt', 'F. Selman', 'M. Stefanon', 'M. Sterzik']",https://arxiv.org/abs/0705.4195,['astro-ph'],"Submitted 29 May, 2007; 
      originally announced May 2007."
