id,title,authors,link,tags,originally_announced_at
1,Dynamics of Internal Models in Game Players,"['Makoto Taiji', 'Takashi Ikegami']",https://arxiv.org/abs/adap-org/9807004,['nlin.AO'],"Submitted 23 July, 1998; 
      originally announced July 1998."
2,Applying Policy Iteration for Training Recurrent Neural Networks,"['I. Szita', 'A. Lorincz']",https://arxiv.org/abs/cs/0410004,"['cs.AI', 'cs.LG', 'cs.NE']","Submitted 2 October, 2004; 
      originally announced October 2004."
3,Evolino for recurrent support vector machines,"['Juergen Schmidhuber', 'Matteo Gagliolo', 'Daan Wierstra', 'Faustino Gomez']",https://arxiv.org/abs/cs/0512062,['cs.NE'],"Submitted 15 December, 2005; 
      originally announced December 2005."
4,Multi-Dimensional Recurrent Neural Networks,"['Alex Graves', 'Santiago Fernandez', 'Juergen Schmidhuber']",https://arxiv.org/abs/0705.2011,"['cs.AI', 'cs.CV']","Submitted 14 May, 2007; 
      originally announced May 2007."
5,Higher Schl{ä}fli Formulas and Applications II. Vector-valued differential relations,"['Jean-Marc Schlenker', 'Rabah Souam']",https://arxiv.org/abs/math/0611499,"['math.DG', 'math.GT']","Submitted 6 February, 2008; v1 submitted 16 November, 2006;
      originally announced November 2006."
6,"A model for learning to segment temporal sequences, utilizing a mixture of RNN experts together with adaptive variance","['Jun Namikawa', 'Jun Tani']",https://arxiv.org/abs/0706.1317,['nlin.AO'],"Submitted 17 June, 2008; v1 submitted 9 June, 2007;
      originally announced June 2007."
7,D-optimal Bayesian Interrogation for Parameter and Noise Identification of Recurrent Neural Networks,"['Barnabas Poczos', 'Andras Lorincz']",https://arxiv.org/abs/0801.1883,"['cs.NE', 'cs.IT']","Submitted 12 January, 2008; 
      originally announced January 2008."
8,Learning to imitate stochastic time series in a compositional way by chaos,"['Jun Namikawa', 'Jun Tani']",https://arxiv.org/abs/0805.1795,"['nlin.CD', 'nlin.AO']","Submitted 13 May, 2008; 
      originally announced May 2008."
9,Recognizing recurrent neural networks (rRNN): Bayesian inference for recurrent neural networks,"['Sebastian Bitzer', 'Stefan J. Kiebel']",https://arxiv.org/abs/1201.4339,['q-bio.NC'],"Submitted 20 January, 2012; 
      originally announced January 2012."
10,First Experiments with PowerPlay,"['Rupesh Kumar Srivastava', 'Bas R. Steunebrink', 'Jürgen Schmidhuber']",https://arxiv.org/abs/1210.8385,"['cs.AI', 'cs.LG']","Submitted 31 October, 2012; 
      originally announced October 2012."
